ParentTypeName,ReferenceName,ItemTypeName
ParameterType,ValueRepresentationReference,ManagedRepresentation
BindingType,SourceParameterReference,ParameterType
BindingType,TargetParameterReference,ParameterType
AbstractVersionableType,VersionResponsibilityReference,Agent
BasedOnObjectType,BasedOnReference,Maintainable Versionable
SchemeReferenceType,Exclude,
CreatorType,CreatorReference,Individual
ContributorType,ContributorReference,Individual
PublisherType,PublisherReference,Organization
FundingInformationType,AgencyOrganizationReference,Agent
EmbargoType,AgencyOrganizationReference,Agent
EmbargoType,EnforcementAgencyOrganizationReference,Agent
LifecycleEventType,AgencyOrganizationReference,Agent
CoverageType,SpatialCoverageReference,GeographicCoverageType
RestrictionProcessType,ProcessingInstructionReference,GenerationInstruction
GeographicCoverageType,GeographyStructureVariableReference,Variable
GeographicCoverageType,SummaryDataReference,GeographicLevelType
GeographicLevelType,ParentGeographicLevelReference,GeographicLevelType
GeographicLevelType,GeographicLayerBaseReference,GeographicLevelType
LocationValueType,SupersedesLocationValue,LocationValueType
LocationValueType,PrecedesLocationValue,LocationValueType
EvaluatorType,EvaluatorReference,Agent
RelationshipType,RelatedToReference,Maintainable Versionable IdentifiableType
ComplianceType,ComplianceConceptReference,Concept
GeographicLocationReferenceType,ExcludedLocationValueReference,LocationValueType
GeographicStructureReferenceType,ExcludedGeographicLevelReference,GeographicLevelType
IncludedGeographicLocationCodesType,ExcludedLocationValueReference,LocationValueType
IncludedGeographicStructureCodesType,ExcludedGeographicLevelReference,GeographicLevelType
ManagedRepresentationGroup,ManagedRepresentationReference,ManagedRepresentation
ManagedMissingValuesRepresentation,ProcessingInstructionReference,ProcessingInstruction
AuthorizationSourceType,AuthorizingAgencyReference,Agent
MeasureDimensionType,NCubeMeasureDefinitionReference,MeasureDefinitionType
ArchiveSpecificType,ArchiveOrganizationReference,Agent
ItemType,OriginalArchiveOrganizationReference,Organization
CollectionType,OriginalArchiveOrganizationReference,Organization
AccessType,ContactOrganizationReference,Agent
GenericMap,SourceSchemeReference,Maintainable
GenericMap,TargetSchemeReference,Maintainable
RepresentationMap,ProcessingInstructionReference,ProcessingInstruction
SourceRepresentationType,ManagedRepresentationReference,ManagedRepresentation
TargetRepresentationType,ManagedRepresentationReference,ManagedRepresentation
ItemMapType,RelatedMapReference,ItemMapType
CollectionEventType,DataCollectorOrganizationReference,Agent
ProcessingEvent,ProcessingInstructionReference,ProcessingInstruction
OperationType,AgencyOrganizationReference,Agent
GeneralInstruction,OverriddenCodeReference,ProcessingInstruction
GenerationInstruction,SourceQuestion,Question
GenerationInstruction,SourceVariable,Variable
AggregationVariablesType,IndependentVariableReference,Variable
AggregationVariablesType,DependentVariableReference,Variable
ControlConstruct,InterviewerInstructionReference,Instruction
IfThenElse,ThenConstructReference,Sequence
IfThenElse,ElseConstructReference,Sequence
ElseIfType,ThenConstructReference,Sequence
RepeatUntil,UntilConstructReference,Sequence
RepeatWhile,WhileConstructReference,Sequence
Loop,LoopVariableReference,ParameterType
ComputationItem,AssignedVariableReference,ParameterType
ConditionalTextType,SourceParameterReference,ParameterType
QuestionItem,ResponseDomainReference,ManagedRepresentation
QuestionItem,InterviewerInstructionReference,Instruction
QuestionBlock,InterviewerInstructionReference,Instruction
ResponseDomainInMixedType,ResponseDomainReference,ManagedRepresentation
QuestionGrid,ResponseDomainReference,ManagedRepresentation
QuestionGrid,InterviewerInstructionReference,Instruction
GridResponseDomainType,ResponseDomainReference,ManagedRepresentation
